,,,,,,,by cancer type,,,,,gene set,,,,,,,
PPP1R18,CD8.c04(ZNF683+CXCR6- Tm),0.24 ,1.53E-10,2.16E-09,27,48.34%,7,0.39 ,18,0.59 ,2.59E-42,,,,,,,,
ZYX,CD8.c04(ZNF683+CXCR6- Tm),0.24 ,2.70E-14,8.21E-13,28,49.01%,10,0.56 ,18,0.52 ,2.55E-33,,,,,,,,
RAC2,CD8.c04(ZNF683+CXCR6- Tm),0.24 ,1.41E-07,1.09E-06,29,57.53%,10,0.56 ,18,0.89 ,7.14E-94,,,,,,,,
IFNG,CD8.c04(ZNF683+CXCR6- Tm),0.24 ,2.62E-05,1.31E-04,30,31.16%,8,0.44 ,18,0.93 ,7.83E-104,,,,TRUE,,,TRUE,
EMP3,CD8.c04(ZNF683+CXCR6- Tm),0.24 ,3.70E-12,7.22E-11,31,54.19%,9,0.50 ,18,0.52 ,4.02E-33,,,,,TRUE,,,
GIMAP7,CD8.c04(ZNF683+CXCR6- Tm),0.23 ,1.04E-07,8.34E-07,32,49.20%,9,0.50 ,18,0.55 ,1.24E-144,,,,,,,,
LINC00861,CD8.c04(ZNF683+CXCR6- Tm),0.23 ,1.93E-07,1.47E-06,33,27.20%,8,0.44 ,18,0.54 ,9.95E-61,,,,,,,,
CORO1A,CD8.c04(ZNF683+CXCR6- Tm),0.22 ,4.00E-08,3.51E-07,34,57.61%,8,0.44 ,18,0.78 ,4.34E-73,,,,,,,,
NKG7,CD8.c04(ZNF683+CXCR6- Tm),0.21 ,9.73E-10,1.19E-08,35,53.53%,6,0.33 ,18,0.55 ,1.44E-36,,,,,TRUE,,,
TMSB10,CD8.c04(ZNF683+CXCR6- Tm),0.21 ,1.78E-06,1.13E-05,36,50.77%,6,0.33 ,18,0.80 ,1.30E-75,,,,,,,,
S100A6,CD8.c04(ZNF683+CXCR6- Tm),0.21 ,2.36E-13,5.80E-12,37,54.20%,12,0.67 ,18,0.50 ,3.82E-30,,,,,,,,
CD2,CD8.c04(ZNF683+CXCR6- Tm),0.21 ,8.12E-11,1.21E-09,38,56.75%,12,0.67 ,18,0.46 ,5.01E-06,,,,,TRUE,,TRUE,
PTGDR,CD8.c04(ZNF683+CXCR6- Tm),0.21 ,4.38E-04,1.63E-03,39,14.43%,6,0.33 ,18,0.69 ,3.86E-222,,,,,TRUE,,,TRUE
EVL,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,3.84E-04,1.44E-03,40,59.76%,8,0.44 ,18,0.94 ,7.47E-104,,,,,,,,
CYTH4,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,5.50E-10,7.02E-09,41,19.19%,8,0.44 ,18,0.60 ,3.30E-34,,,,,,,,
RCSD1,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,4.89E-04,1.79E-03,42,36.61%,9,0.50 ,18,0.67 ,8.33E-214,,,,,,,,
AGTRAP,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,5.69E-09,5.99E-08,43,20.48%,9,0.50 ,18,0.72 ,7.35E-49,,,,,TRUE,,,
RGS19,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,2.52E-11,4.16E-10,44,23.29%,9,0.50 ,18,0.46 ,1.36E-07,,,,,,,,
LAT,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,1.22E-09,1.47E-08,45,48.65%,8,0.44 ,18,0.51 ,1.67E-09,,,,,TRUE,,,
GZMH,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,2.46E-06,1.53E-05,46,50.41%,9,0.50 ,18,0.51 ,3.76E-03,,,,TRUE,,TRUE,,
GLIPR2,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,1.20E-11,2.12E-10,47,34.65%,6,0.33 ,18,0.61 ,1.54E-35,,,,,,,,
SASH3,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,8.31E-07,5.58E-06,48,33.45%,6,0.33 ,18,0.53 ,6.43E-60,,,,,,,,
B2M,CD8.c04(ZNF683+CXCR6- Tm),0.20 ,3.03E-11,4.91E-10,49,47.23%,6,0.33 ,18,0.59 ,4.06E-10,,,,,,,,
LGALS1,CD8.c04(ZNF683+CXCR6- Tm),0.19 ,1.56E-12,3.28E-11,50,45.39%,8,0.44 ,18,0.58 ,1.02E-09,,,,TRUE,,,,
TMSB4X,CD8.c04(ZNF683+CXCR6- Tm),0.19 ,3.00E-14,9.06E-13,51,48.66%,8,0.44 ,18,0.35 ,3.86E-26,,,,,,,,
MYO1F,CD8.c04(ZNF683+CXCR6- Tm),0.19 ,3.60E-10,4.77E-09,52,29.17%,7,0.39 ,18,0.59 ,2.73E-04,,,,,,,,
SH2D3C,CD8.c04(ZNF683+CXCR6- Tm),0.19 ,2.18E-10,3.00E-09,53,9.13%,9,0.50 ,18,0.43 ,8.09E-07,,,,,,,,
MALAT1,CD8.c04(ZNF683+CXCR6- Tm),0.19 ,5.34E-04,1.93E-03,54,52.10%,7,0.39 ,18,0.56 ,7.92E-150,,,,,,,,
PSMB9,CD8.c04(ZNF683+CXCR6- Tm),0.18 ,4.09E-09,4.43E-08,55,55.16%,6,0.33 ,18,0.55 ,4.75E-29,,,,,,TRUE,TRUE,
ACAP1,CD8.c04(ZNF683+CXCR6- Tm),0.18 ,3.60E-09,3.94E-08,56,53.07%,10,0.56 ,18,0.53 ,8.42E-34,,,,,,,,
LY6E,CD8.c04(ZNF683+CXCR6- Tm),0.18 ,7.33E-08,6.06E-07,57,53.88%,6,0.33 ,18,0.69 ,1.37E-56,,,,,TRUE,,,
PTPN6,CD8.c04(ZNF683+CXCR6- Tm),0.17 ,1.10E-03,3.66E-03,58,27.68%,6,0.33 ,18,1.12 ,1.04E-117,,,,,,TRUE,,
CD244,CD8.c04(ZNF683+CXCR6- Tm),0.17 ,1.28E-18,8.84E-17,59,13.89%,8,0.44 ,18,0.37 ,4.51E-17,,,,,TRUE,,,
CD99,CD8.c04(ZNF683+CXCR6- Tm),0.17 ,5.86E-10,7.44E-09,60,53.98%,8,0.44 ,18,0.55 ,4.23E-36,,,,,TRUE,,,
EGR1,CD8.c04(ZNF683+CXCR6- Tm),0.17 ,8.68E-04,2.97E-03,61,17.99%,9,0.50 ,18,0.82 ,9.58E-80,TRUE,,,,,,,
PDLIM2,CD8.c04(ZNF683+CXCR6- Tm),0.17 ,3.27E-07,2.39E-06,62,24.78%,6,0.33 ,18,0.46 ,2.03E-20,,,,,,,,
PYCARD,CD8.c04(ZNF683+CXCR6- Tm),0.17 ,2.04E-07,1.54E-06,63,24.95%,6,0.33 ,18,0.60 ,3.01E-43,,,,,,,,
SH3BP1,CD8.c04(ZNF683+CXCR6- Tm),0.16 ,1.02E-04,4.44E-04,64,26.77%,6,0.33 ,18,0.73 ,3.15E-64,,,,,,,,
LIME1,CD8.c04(ZNF683+CXCR6- Tm),0.16 ,5.33E-08,4.52E-07,65,34.38%,8,0.44 ,18,0.50 ,3.41E-30,,,,,,,,
FCRL6,CD8.c04(ZNF683+CXCR6- Tm),0.16 ,4.70E-09,5.05E-08,66,14.81%,6,0.33 ,18,0.48 ,1.23E-21,,,,,TRUE,,,
C5orf56,CD8.c04(ZNF683+CXCR6- Tm),0.16 ,6.68E-10,8.41E-09,67,28.77%,6,0.33 ,18,0.35 ,8.83E-15,,,,,,,,
CSK,CD8.c04(ZNF683+CXCR6- Tm),0.16 ,4.33E-07,3.07E-06,68,32.82%,5,0.28 ,18,0.58 ,1.88E-40,,TRUE,,,,TRUE,,
GSTK1,CD8.c04(ZNF683+CXCR6- Tm),0.16 ,1.55E-04,6.40E-04,69,53.79%,6,0.33 ,18,0.69 ,9.59E-45,,,,,,TRUE,,
PLEKHF1,CD8.c04(ZNF683+CXCR6- Tm),0.16 ,7.39E-06,4.16E-05,70,21.20%,6,0.33 ,18,0.48 ,1.33E-06,,,,,,,,
DENND2D,CD8.c04(ZNF683+CXCR6- Tm),0.16 ,5.07E-04,1.85E-03,71,33.69%,5,0.28 ,18,0.56 ,6.44E-30,,,,,,,,
GIMAP1,CD8.c04(ZNF683+CXCR6- Tm),0.16 ,5.51E-04,1.99E-03,72,27.31%,6,0.33 ,18,0.50 ,1.51E-120,,,,,TRUE,,,
CALHM2,CD8.c04(ZNF683+CXCR6- Tm),0.15 ,7.02E-11,1.06E-09,73,13.72%,7,0.39 ,18,0.40 ,1.08E-05,,,,,TRUE,,,
GIMAP6,CD8.c04(ZNF683+CXCR6- Tm),0.15 ,8.60E-05,3.80E-04,74,17.86%,7,0.39 ,18,0.52 ,3.25E-129,,,,,,,,
SAMD3,CD8.c04(ZNF683+CXCR6- Tm),0.15 ,5.20E-05,2.42E-04,75,33.51%,6,0.33 ,18,0.45 ,2.13E-05,,,,,,,,
CTSW,CD8.c04(ZNF683+CXCR6- Tm),0.15 ,2.55E-07,1.89E-06,76,48.05%,5,0.28 ,18,0.45 ,3.42E-24,,,,TRUE,,TRUE,,
THEMIS,CD8.c04(ZNF683+CXCR6- Tm),0.15 ,4.13E-08,3.61E-07,77,38.25%,8,0.44 ,18,0.44 ,4.05E-05,,,,,,,,
GZMK,CD8.c05(GZMK+ early Tem),1.16 ,1.06E-67,6.56E-65,1,80.20%,20,0.95 ,21,2.36 ,0.00E+00,,,,TRUE,,TRUE,,
DUSP2,CD8.c05(GZMK+ early Tem),0.57 ,8.96E-58,3.10E-55,2,64.38%,18,0.86 ,21,1.22 ,1.55E-94,,,,,,TRUE,,
CMC1,CD8.c05(GZMK+ early Tem),0.56 ,2.03E-42,2.01E-40,3,47.65%,18,0.86 ,21,0.97 ,4.17E-02,,,,,,,,
CST7,CD8.c05(GZMK+ early Tem),0.49 ,2.03E-45,2.62E-43,4,65.59%,19,0.90 ,21,0.92 ,4.06E-64,,,,TRUE,,,,
CXCR4,CD8.c05(GZMK+ early Tem),0.48 ,4.94E-84,2.91E-80,5,62.53%,18,0.86 ,21,0.68 ,6.32E-36,,,,,TRUE,,TRUE,
DKK3,CD8.c05(GZMK+ early Tem),0.45 ,1.63E-29,4.99E-28,6,16.51%,15,0.71 ,21,0.88 ,1.12E-71,,,,TRUE,,,,
SH2D1A,CD8.c05(GZMK+ early Tem),0.44 ,1.57E-40,1.26E-38,7,52.91%,16,0.76 ,21,0.79 ,4.74E-47,,,,,,,,
CD74,CD8.c05(GZMK+ early Tem),0.42 ,6.00E-17,5.43E-16,8,57.04%,13,0.62 ,21,0.77 ,0.00E+00,,,,,TRUE,,,
ENC1,CD8.c05(GZMK+ early Tem),0.42 ,2.95E-22,4.45E-21,9,23.41%,14,0.67 ,21,1.10 ,3.83E-78,,,,,,,,
TRAT1,CD8.c05(GZMK+ early Tem),0.42 ,1.25E-25,2.63E-24,10,45.39%,15,0.71 ,21,1.10 ,3.70E-78,,,,,TRUE,,,
DTHD1,CD8.c05(GZMK+ early Tem),0.36 ,3.28E-31,1.17E-29,11,21.15%,15,0.71 ,21,0.69 ,3.69E-31,,,,,,,,
PIK3R1,CD8.c05(GZMK+ early Tem),0.34 ,5.95E-51,1.23E-48,12,51.86%,16,0.76 ,21,0.58 ,4.35E-22,,,,,,,,
EOMES,CD8.c05(GZMK+ early Tem),0.34 ,4.63E-40,3.43E-38,13,30.31%,17,0.81 ,21,0.70 ,9.99E-33,TRUE,,,,,,,
CRTAM,CD8.c05(GZMK+ early Tem),0.34 ,2.77E-20,3.45E-19,14,38.31%,14,0.67 ,21,0.86 ,3.92E-05,,,,,TRUE,,,
CXCR5,CD8.c05(GZMK+ early Tem),0.34 ,4.78E-27,1.16E-25,15,6.96%,13,0.62 ,21,0.75 ,1.99E-43,,,,,TRUE,,,
TC2N,CD8.c05(GZMK+ early Tem),0.30 ,3.41E-37,2.03E-35,16,43.46%,14,0.67 ,21,0.65 ,2.28E-28,,,,,,,,
TUBA4A,CD8.c05(GZMK+ early Tem),0.30 ,8.94E-13,5.30E-12,17,55.14%,12,0.57 ,21,0.90 ,2.17E-53,,,,,,,TRUE,
MALAT1,CD8.c05(GZMK+ early Tem),0.29 ,2.68E-21,3.69E-20,18,48.69%,14,0.67 ,21,0.78 ,4.11E-04,,,,,,,,
RPS27,CD8.c05(GZMK+ early Tem),0.28 ,6.06E-22,8.81E-21,19,55.24%,13,0.62 ,21,0.77 ,1.05E-38,,,,,,,,
KLRG1,CD8.c05(GZMK+ early Tem),0.28 ,3.37E-17,3.13E-16,20,30.86%,12,0.57 ,21,0.67 ,5.14E-30,,,,,TRUE,,,
CD28,CD8.c05(GZMK+ early Tem),0.28 ,1.06E-30,3.64E-29,21,26.71%,12,0.57 ,21,0.75 ,1.24E-36,,,,,TRUE,,,
CCR4,CD8.c05(GZMK+ early Tem),0.27 ,4.33E-21,5.83E-20,22,8.73%,10,0.48 ,21,0.71 ,1.72E-38,,,,,TRUE,,,
CLDND1,CD8.c05(GZMK+ early Tem),0.27 ,6.21E-23,1.00E-21,23,47.05%,12,0.57 ,21,0.64 ,1.23E-31,,,,,TRUE,,,
GPR183,CD8.c05(GZMK+ early Tem),0.27 ,8.37E-24,1.49E-22,24,38.93%,10,0.48 ,21,0.60 ,6.00E-34,,,,,TRUE,,,
CD44,CD8.c05(GZMK+ early Tem),0.26 ,1.89E-31,6.85E-30,25,55.02%,13,0.62 ,21,0.53 ,2.03E-21,,,,TRUE,TRUE,,TRUE,
BTG1,CD8.c05(GZMK+ early Tem),0.26 ,4.28E-31,1.52E-29,26,51.30%,11,0.52 ,21,0.52 ,7.71E-62,,,,,,,,
YPEL5,CD8.c05(GZMK+ early Tem),0.25 ,3.49E-17,3.23E-16,27,51.79%,11,0.52 ,21,0.58 ,4.03E-76,,,,,,,,
SRGN,CD8.c05(GZMK+ early Tem),0.25 ,5.53E-17,5.03E-16,28,53.24%,12,0.57 ,21,0.75 ,4.92E-09,,,,,,,,
FYN,CD8.c05(GZMK+ early Tem),0.25 ,4.33E-30,1.41E-28,29,52.72%,16,0.76 ,21,0.61 ,1.89E-24,,TRUE,,,,TRUE,,
HLA-DPB1,CD8.c05(GZMK+ early Tem),0.25 ,5.91E-16,4.91E-15,30,53.49%,13,0.62 ,21,0.47 ,7.40E-17,,,,,TRUE,,,
TMEM2,CD8.c05(GZMK+ early Tem),0.24 ,4.50E-37,2.62E-35,31,43.42%,13,0.62 ,21,0.52 ,5.25E-07,,,,,TRUE,TRUE,,
RPL28,CD8.c05(GZMK+ early Tem),0.24 ,4.45E-12,2.42E-11,32,53.60%,13,0.62 ,21,0.65 ,8.93E-147,,,,,,,,
DNAJB1,CD8.c05(GZMK+ early Tem),0.24 ,2.47E-27,6.16E-26,33,49.46%,9,0.43 ,21,0.61 ,1.61E-02,,,,,,,,
ITM2C,CD8.c05(GZMK+ early Tem),0.24 ,5.03E-13,3.08E-12,34,45.34%,10,0.48 ,21,0.59 ,1.40E-09,,,,,TRUE,,,
EPHA4,CD8.c05(GZMK+ early Tem),0.24 ,4.82E-27,1.16E-25,35,11.58%,13,0.62 ,21,0.75 ,4.80E-37,,TRUE,,,TRUE,TRUE,,
TNFSF9,CD8.c05(GZMK+ early Tem),0.24 ,6.32E-18,6.27E-17,36,25.05%,11,0.52 ,21,0.72 ,2.73E-40,,,,,,,,
MS4A1,CD8.c05(GZMK+ early Tem),0.24 ,1.52E-26,3.45E-25,37,7.75%,10,0.48 ,21,0.59 ,4.06E-07,,,,,TRUE,,TRUE,
CCL4,CD8.c05(GZMK+ early Tem),0.24 ,4.91E-13,3.01E-12,38,47.93%,9,0.43 ,21,0.47 ,1.84E-189,,,,TRUE,,,,
GZMM,CD8.c05(GZMK+ early Tem),0.24 ,3.25E-21,4.44E-20,39,52.05%,13,0.62 ,21,0.62 ,5.13E-36,,,,TRUE,,TRUE,,
HLA-DPA1,CD8.c05(GZMK+ early Tem),0.23 ,4.27E-12,2.33E-11,40,52.93%,12,0.57 ,21,0.46 ,7.91E-186,,,,,TRUE,,,
LYST,CD8.c05(GZMK+ early Tem),0.23 ,2.17E-16,1.88E-15,41,40.43%,12,0.57 ,21,0.62 ,5.14E-06,,,,,,,,
HLA-DRB1,CD8.c05(GZMK+ early Tem),0.23 ,1.27E-06,3.65E-06,42,49.57%,12,0.57 ,21,0.55 ,7.67E-03,,,,,TRUE,,,
RPS15A,CD8.c05(GZMK+ early Tem),0.23 ,1.27E-10,5.91E-10,43,53.36%,12,0.57 ,21,0.67 ,1.35E-29,,,,,TRUE,,,
AOAH,CD8.c05(GZMK+ early Tem),0.22 ,1.14E-29,3.54E-28,44,36.54%,11,0.52 ,21,0.38 ,1.76E-55,,,,TRUE,,TRUE,,
EIF1,CD8.c05(GZMK+ early Tem),0.22 ,4.43E-18,4.45E-17,45,52.14%,13,0.62 ,21,0.56 ,6.04E-21,,,TRUE,,,,,
FCRL3,CD8.c05(GZMK+ early Tem),0.22 ,5.47E-19,6.08E-18,46,11.85%,12,0.57 ,21,0.55 ,1.12E-04,,,,,TRUE,,,
SRSF7,CD8.c05(GZMK+ early Tem),0.22 ,4.94E-20,6.04E-19,47,53.55%,11,0.52 ,21,0.48 ,4.43E-89,,,,,,,,
RPS29,CD8.c05(GZMK+ early Tem),0.22 ,2.24E-17,2.11E-16,48,52.83%,11,0.52 ,21,0.57 ,1.36E-21,,,,,,,,
RNF19A,CD8.c05(GZMK+ early Tem),0.21 ,5.35E-13,3.27E-12,49,48.49%,11,0.52 ,21,0.52 ,1.92E-05,,,,,TRUE,TRUE,,
HLA-A,CD8.c05(GZMK+ early Tem),0.21 ,1.17E-23,2.04E-22,50,49.16%,12,0.57 ,21,0.42 ,1.54E-03,,,,,TRUE,,,
RPL13A,CD8.c05(GZMK+ early Tem),0.21 ,3.54E-18,3.61E-17,51,52.53%,12,0.57 ,21,0.51 ,1.04E-57,,,,,,,,
NFATC2,CD8.c05(GZMK+ early Tem),0.20 ,5.94E-13,3.61E-12,52,44.19%,9,0.43 ,21,0.49 ,2.37E-16,TRUE,,,,,,,
APMAP,CD8.c05(GZMK+ early Tem),0.20 ,1.61E-22,2.49E-21,53,45.67%,12,0.57 ,21,0.45 ,8.92E-79,,,,,TRUE,,,
ZNF331,CD8.c05(GZMK+ early Tem),0.20 ,3.34E-23,5.51E-22,54,43.06%,12,0.57 ,21,0.47 ,1.50E-01,TRUE,,,,,,,
LGR6,CD8.c05(GZMK+ early Tem),0.20 ,6.02E-20,7.31E-19,55,4.85%,9,0.43 ,21,0.46 ,2.80E-03,,,,,TRUE,,,
RPL23A,CD8.c05(GZMK+ early Tem),0.20 ,5.63E-11,2.75E-10,56,52.48%,13,0.62 ,21,0.60 ,1.24E-14,,,,,,,,
HNRNPLL,CD8.c05(GZMK+ early Tem),0.20 ,4.32E-17,3.96E-16,57,34.77%,9,0.43 ,21,0.38 ,1.91E-11,,,,,,,,
HLA-DQB1,CD8.c05(GZMK+ early Tem),0.19 ,1.06E-06,3.08E-06,58,35.29%,10,0.48 ,21,0.75 ,2.68E-37,,,,,TRUE,,,
RPS25,CD8.c05(GZMK+ early Tem),0.19 ,2.60E-10,1.17E-09,59,52.54%,13,0.62 ,21,0.64 ,1.71E-08,,,,,,,,
RPL27A,CD8.c05(GZMK+ early Tem),0.19 ,2.29E-16,1.97E-15,60,53.38%,10,0.48 ,21,0.53 ,5.14E-05,,,,,,,,
HLA-DQA1,CD8.c05(GZMK+ early Tem),0.19 ,1.21E-04,2.66E-04,61,38.26%,10,0.48 ,21,0.76 ,7.22E-38,,,,,TRUE,,,
COTL1,CD8.c05(GZMK+ early Tem),0.19 ,2.49E-08,8.85E-08,62,53.27%,8,0.38 ,21,0.47 ,5.14E-84,,,,,,,,
GZMA,CD8.c05(GZMK+ early Tem),0.18 ,1.22E-06,3.50E-06,63,51.26%,8,0.38 ,21,0.89 ,3.37E-13,,,,TRUE,,TRUE,,
F2R,CD8.c05(GZMK+ early Tem),0.18 ,2.94E-23,4.88E-22,64,26.63%,13,0.62 ,21,0.50 ,8.97E-17,,,,,TRUE,,TRUE,
RPLP2,CD8.c05(GZMK+ early Tem),0.18 ,8.43E-15,6.24E-14,65,48.81%,10,0.48 ,21,0.64 ,1.72E-08,,,,,,,,
MARCKSL1,CD8.c05(GZMK+ early Tem),0.18 ,1.13E-09,4.77E-09,66,27.43%,7,0.33 ,21,0.81 ,2.40E-43,,,,,,,,
PTPRC,CD8.c05(GZMK+ early Tem),0.18 ,6.47E-29,1.88E-27,67,50.62%,11,0.52 ,21,0.42 ,5.84E-12,,,,,TRUE,,,
RPL13,CD8.c05(GZMK+ early Tem),0.18 ,8.94E-09,3.35E-08,68,49.98%,9,0.43 ,21,0.62 ,3.16E-25,,,,,,,,
CCL5,CD8.c05(GZMK+ early Tem),0.18 ,1.19E-08,4.40E-08,69,44.08%,8,0.38 ,21,0.92 ,9.50E-14,,TRUE,,TRUE,TRUE,,,
NAA50,CD8.c05(GZMK+ early Tem),0.18 ,4.01E-18,4.05E-17,70,37.88%,8,0.38 ,21,0.67 ,4.86E-03,,,,,,TRUE,,
H3F3B,CD8.c05(GZMK+ early Tem),0.17 ,1.02E-10,4.82E-10,71,49.60%,9,0.43 ,21,0.46 ,4.78E-186,,,,,,,,
FAM102A,CD8.c05(GZMK+ early Tem),0.17 ,1.82E-13,1.16E-12,72,28.36%,8,0.38 ,21,0.67 ,8.54E-30,,,,,,,,
NR4A2,CD8.c05(GZMK+ early Tem),0.17 ,5.92E-09,2.27E-08,73,45.56%,7,0.33 ,21,0.62 ,1.16E-25,TRUE,,,,,,,
PDCD4,CD8.c05(GZMK+ early Tem),0.17 ,9.49E-21,1.23E-19,74,48.19%,9,0.43 ,21,0.55 ,2.92E-06,,,,,,,,
SAMD3,CD8.c05(GZMK+ early Tem),0.17 ,1.93E-18,2.02E-17,75,35.55%,9,0.43 ,21,0.40 ,4.29E-56,,,,,,,,
CCL4L2,CD8.c05(GZMK+ early Tem),0.17 ,2.88E-06,7.89E-06,76,32.95%,8,0.38 ,21,0.58 ,1.19E-54,,,,TRUE,,,,
RGCC,CD8.c05(GZMK+ early Tem),0.17 ,2.68E-10,1.21E-09,77,46.92%,10,0.48 ,21,0.49 ,4.23E-54,,,,,,,,
RPS3,CD8.c05(GZMK+ early Tem),0.17 ,7.11E-09,2.70E-08,78,48.96%,10,0.48 ,21,0.66 ,3.79E-09,,,,,,TRUE,,
DUSP1,CD8.c05(GZMK+ early Tem),0.16 ,5.07E-20,6.19E-19,79,46.74%,6,0.29 ,21,0.39 ,5.41E-03,,,,,,TRUE,,
IFRD1,CD8.c05(GZMK+ early Tem),0.16 ,7.22E-13,4.33E-12,80,33.66%,7,0.33 ,21,0.43 ,1.08E-02,,,,,TRUE,,,
GGA2,CD8.c05(GZMK+ early Tem),0.16 ,4.03E-12,2.21E-11,81,29.35%,8,0.38 ,21,0.45 ,1.60E-76,,,,,,,,
PASK,CD8.c05(GZMK+ early Tem),0.16 ,5.87E-12,3.16E-11,82,10.99%,7,0.33 ,21,0.67 ,5.52E-03,,TRUE,,,,TRUE,,
ARAP2,CD8.c05(GZMK+ early Tem),0.16 ,1.01E-23,1.77E-22,83,38.01%,10,0.48 ,21,0.53 ,1.76E-18,,,,,,,,
CCL3L3,CD8.c05(GZMK+ early Tem),0.16 ,3.13E-09,1.24E-08,84,15.83%,7,0.33 ,21,0.34 ,7.06E-09,,,,,,,,
FAM46C,CD8.c05(GZMK+ early Tem),0.16 ,3.00E-16,2.56E-15,85,41.44%,6,0.29 ,21,0.39 ,1.10E-34,,,,,,,,
CHI3L2,CD8.c05(GZMK+ early Tem),0.16 ,3.28E-16,2.80E-15,86,7.92%,6,0.29 ,21,0.40 ,4.69E-58,,,,TRUE,,,,
RGS1,CD8.c05(GZMK+ early Tem),0.15 ,3.68E-05,8.72E-05,87,45.25%,6,0.29 ,21,0.74 ,7.21E-09,,,,,,,,
PLEK,CD8.c05(GZMK+ early Tem),0.15 ,5.91E-07,1.77E-06,88,21.98%,7,0.33 ,21,0.62 ,3.75E-30,,,,,,,,
PLCG2,CD8.c05(GZMK+ early Tem),0.15 ,3.84E-13,2.38E-12,89,10.11%,8,0.38 ,21,0.39 ,1.02E-57,,,,,,TRUE,,TRUE
PDLIM1,CD8.c05(GZMK+ early Tem),0.15 ,4.28E-35,2.14E-33,90,6.58%,8,0.38 ,21,0.31 ,1.27E-06,,,,,,,,
YBX3,CD8.c05(GZMK+ early Tem),0.15 ,3.07E-12,1.71E-11,91,19.53%,8,0.38 ,21,0.75 ,2.76E-37,TRUE,,,,,,,
PDE4B,CD8.c05(GZMK+ early Tem),0.15 ,1.74E-11,9.05E-11,92,42.81%,7,0.33 ,21,0.43 ,1.67E-41,,,,,,TRUE,TRUE,
GZMK,CD8.c06(GZMK+ Tem),0.80 ,1.60E-62,4.71E-59,1,76.70%,18,1.00 ,18,1.09 ,3.74E-295,,,,TRUE,,TRUE,,
CD74,CD8.c06(GZMK+ Tem),0.70 ,8.16E-60,1.92E-56,2,71.30%,18,1.00 ,18,1.07 ,3.16E-33,,,,,TRUE,,,
HLA-DRB1,CD8.c06(GZMK+ Tem),0.70 ,7.69E-43,5.03E-40,3,71.12%,15,0.83 ,18,1.10 ,6.59E-297,,,,,TRUE,,,
HLA-DRA,CD8.c06(GZMK+ Tem),0.66 ,9.37E-32,1.84E-29,4,63.71%,15,0.83 ,18,1.09 ,3.91E-34,,,,,TRUE,,,
HLA-DPA1,CD8.c06(GZMK+ Tem),0.61 ,5.19E-52,7.64E-49,5,70.01%,18,1.00 ,18,0.91 ,1.30E-23,,,,,TRUE,,,
COTL1,CD8.c06(GZMK+ Tem),0.60 ,1.00E-96,1.18E-92,6,69.12%,18,1.00 ,18,0.90 ,4.68E-23,,,,,,,,
HLA-DPB1,CD8.c06(GZMK+ Tem),0.59 ,1.61E-40,7.88E-38,7,69.01%,17,0.94 ,18,0.86 ,7.41E-91,,,,,TRUE,,,
HLA-DQA1,CD8.c06(GZMK+ Tem),0.58 ,2.95E-25,3.41E-23,8,55.04%,16,0.89 ,18,1.11 ,1.14E-34,,,,,TRUE,,,
GZMA,CD8.c06(GZMK+ Tem),0.57 ,1.61E-55,3.16E-52,9,70.05%,18,1.00 ,18,0.93 ,4.75E-213,,,,TRUE,,TRUE,,
HLA-DQB1,CD8.c06(GZMK+ Tem),0.55 ,2.63E-36,8.61E-34,10,50.72%,16,0.89 ,18,0.88 ,2.66E-192,,,,,TRUE,,,
HLA-DRB5,CD8.c06(GZMK+ Tem),0.49 ,2.57E-24,2.72E-22,11,54.36%,14,0.78 ,18,0.87 ,4.93E-187,,,,,TRUE,,,
CCL5,CD8.c06(GZMK+ Tem),0.46 ,8.79E-34,2.15E-31,12,61.56%,15,0.83 ,18,0.88 ,1.51E-47,,TRUE,,TRUE,TRUE,,,
ITM2C,CD8.c06(GZMK+ Tem),0.46 ,5.20E-29,7.95E-27,13,54.80%,13,0.72 ,18,0.79 ,2.50E-128,,,,,TRUE,,,
CST7,CD8.c06(GZMK+ Tem),0.45 ,3.89E-20,2.50E-18,14,64.99%,16,0.89 ,18,0.82 ,5.19E-168,,,,TRUE,,,,
APOBEC3G,CD8.c06(GZMK+ Tem),0.45 ,8.10E-39,3.29E-36,15,61.63%,15,0.83 ,18,0.70 ,1.39E-122,,,,,,,,
GZMH,CD8.c06(GZMK+ Tem),0.44 ,6.20E-21,4.57E-19,16,61.86%,14,0.78 ,18,0.91 ,3.46E-14,,,,TRUE,,TRUE,,
NKG7,CD8.c06(GZMK+ Tem),0.43 ,3.08E-20,2.04E-18,17,62.52%,14,0.78 ,18,0.80 ,2.46E-80,,,,,TRUE,,,
SH2D1A,CD8.c06(GZMK+ Tem),0.42 ,3.01E-47,2.80E-44,18,54.54%,14,0.78 ,18,0.78 ,3.30E-11,,,,,,,,
